Folder,RelaxArea,Col1,Col2,Col3,Col4,Col5
_fixedeb2_01,75500.0,223.535, 0.00442146, 0, 223.563, 0.000845625
_fixedeb2_02,75750.0,226.881, 0.00492541, 0, 226.909, 0.000661533
_fixedeb2_03,76000.0,228.546, 0.00515949, 0, 228.576, 0.00141354
_fixedeb2_04,76250.0,229.542, 0.00510063, 0, 229.574, 0.000845019
_fixedeb2_05,76500.0,223.593, 0.00419097, 0, 223.612, 0.00104825
_fixedeb2_06,76750.0,232.37, 0.00514501, 0, 232.395, 0.00119994
_fixedeb2_07,77000.0,234.237, 0.00522164, 0, 234.262, 0.00121975
_fixedeb2_08,77250.0,236.241, 0.00527595, 0, 236.265, 0.00052359
_fixedeb2_11,75500.0,215.651, 0.00358617, 3.16695e-09, 215.658, 0.000800197
_fixedeb2_12,75750.0,216.706, 0.00359264, 3.02733e-08, 216.713, 0.000491325
_fixedeb2_13,76000.0,219.443, 0.00390761, 5.63793e-12, 219.451, 0.000914103
_fixedeb2_14,76250.0,221.651, 0.00392317, 6.333e-08, 221.66, 0.000770066
_fixedeb2_15,76500.0,226.6, 0.00423465, 0, 226.612, 0.0011987
_fixedeb2_16,76750.0,226.59, 0.00417993, 1.61253e-09, 226.599, 0.000806353
_fixedeb2_17,77000.0,228.473, 0.00419172, 3.33506e-09, 228.482, 0.001231
_fixedeb2_18,77250.0,231.068, 0.0042473, 3.92818e-08, 231.077, 0.000695161
_fixedeb2_21,75500.0,286.763, 0.504231, 0, 287.376, 0.00177252
_fixedeb2_22,75750.0,218.382, 0.00404097, 4.48116e-08, 218.389, 0.000318076
_fixedeb2_23,76000.0,219.308, 0.00410471, 7.07169e-08, 219.316, 0.000355037
_fixedeb2_24,76250.0,221.269, 0.00415812, 7.55032e-08, 221.277, 0.000722479
_fixedeb2_25,76500.0,223.75, 0.00448291, 0, 223.759, 0.000893611
_fixedeb2_26,76750.0,225.885, 0.0043904, 8.56306e-08, 225.894, 0.000912668
_fixedeb2_27,77000.0,240.518, 0.0056999, 0, 240.53, 0.000763852
_fixedeb2_28,77250.0,230.437, 0.004487, 6.65803e-08, 230.446, 0.000431372
_fixedeb2_31,76500.0,232.743, 0.00540598, 5.5815e-09, 232.75, 0.000987591
_fixedeb2_32,76750.0,234.912, 0.00576022, 9.59719e-09, 234.919, 0.000974532
