Folder,RelaxArea,Col1,Col2,Col3,Col4,Col5,Ngags
_ecca10_01,74000.0,5.82954, 1.61446e-05, 0.000833464, 5.85068, 0.000114544,20
_ecca10_02,74500.0,5.96413, 1.62443e-05, 0, 5.97588, 0.000163225,20
_ecca10_03,75000.0,5.92572, 1.62337e-05, 0.00122353, 5.93884, 0.000142971,20
_ecca10_04,75500.0,6.15496, 1.77216e-05, 0.000133691, 6.16718, 0.000144519,20
_ecca10_05,76000.0,6.23171, 1.83752e-05, 0.000213618, 6.2433, 0.000413585,20
_ecca10_06,76500.0,23.5183, 340.887, 0, 364.421, 0.00971899,20
_ecca10_07,77000.0,26.5107, 1463.04, 0, 1489.57, 0.0603008,20
_ecca10_08,77500.0,29.8727, 3376.16, 0, 3406.09, 0.0294881,20
_ecca10_11,74000.0,5.27158, 1.40856e-05, 0.00150213, 5.29375, 8.02969e-05,14
_ecca10_12,74500.0,5.93809, 2.80078e-05, 2.17705e-05, 5.95429, 0.000189836,14
_ecca10_13,75000.0,4.41255, 1.67316e-05, 0.00313985, 4.42141, 0.000139529,14
_ecca10_14,75500.0,5.59192, 2.50343e-05, 0.000306609, 5.60394, 0.000341886,14
_ecca10_15,76000.0,5.85717, 2.71049e-05, 0.00236371, 5.87097, 0.000179092,14
_ecca10_16,76500.0,26.9775, 341.321, 0, 368.41, 0.00917126,14
_ecca10_17,77000.0,33.245, 1446.81, 0, 1480.14, 0.0548169,14
_ecca10_18,77500.0,38.1158, 3348.22, 0, 3386.4, 0.0532348,14
_ecca10_21,74000.0,6.19292, 5.84567e-05, 0.00569006, 6.20265, 0.000253913,11
_ecca10_22,74500.0,6.49273, 6.32102e-05, 0.00377399, 6.50078, 1.90667e-05,11
_ecca10_23,75000.0,6.87012, 7.26493e-05, 0.00446745, 6.88187, 0.00161669,11
_ecca10_24,75500.0,6.81029, 6.22235e-05, 0.00102964, 6.81694, 0.000276817,11
_ecca10_25,76000.0,7.63542, 7.93858e-05, 0, 7.63837, 0.000187464,11
_ecca10_26,76500.0,35.2796, 310.946, 0, 346.297, 0.00636675,11
_ecca10_27,77000.0,42.7464, 1406.13, 0, 1448.89, 0.0799527,11
_ecca10_28,77500.0,47.2035, 3284.27, 0, 3331.56, 0.0198818,11
_ecca10_31,75000.0,4.48032, 2.78647e-05, 0.00429709, 4.48969, 5.75771e-05,10
_ecca10_32,75500.0,4.76994, 2.99584e-05, 0.00425653, 4.77924, 0.000108094,10
_ecca10_33,76000.0,4.3901, 2.21899e-05, 0.00351264, 4.39852, 5.66414e-05,10
_ecca10_34,75250.0,314.787, 364.564, 0, 679.608, 0.0233422,71
_ecca10_35,77000.0,590.05, 376.397, 0, 966.94, 0.0375799,10
_ecca10_36,77500.0,35.4268, 3647.01, 0, 3682.44, 0.0776761,10
_ecca10_37,78000.0,38.0617, 6057.9, 0, 6096.15, 0.0924277,10
_ecca10_38,78500.0,40.4247, 9498.51, 0, 9539.87, 0.037236,10
_ecca10_41,74000.0,2.06577, 9.08839e-06, 9.42833e-24, 2.06586, 0.000157489,5
_ecca10_42,74500.0,2.11761, 9.33455e-06, 0, 2.11769, 0.000150756,5
_ecca10_43,75000.0,2.17368, 9.36258e-06, 8.21559e-24, 2.17376, 0.000108029,5
_ecca10_44,75500.0,2.20541, 8.89433e-06, 5.2284e-23, 2.20551, 0.000354928,5
_ecca10_45,76000.0,2.2535, 8.651e-06, 1.7928e-27, 2.2536, 0.000160047,5
_ecca10_46,76500.0,28.8848, 363.973, 0, 392.863, 0.023672,5
_ecca10_47,77000.0,35.677, 1440.41, 0, 1476.13, 0.119257,5
_ecca10_48,77500.0,40.5259, 3354.04, 0, 3394.59, 0.037485,5
_ecca20_01,74000.0,67.2226, 0.000846338, 0, 67.2428, 0.000464258,70
_ecca20_02,74500.0,68.3565, 0.000890572, 0, 68.3726, 0.000706743,70
_ecca20_03,75000.0,69.2026, 0.000924151, 0, 69.2162, 0.000492877,70
_ecca20_04,75500.0,70.5814, 0.000935533, 0, 70.5946, 0.000352241,70
_ecca20_05,76000.0,70.5663, 0.000873289, 0, 70.5796, 0.000772794,70
_ecca20_06,76500.0,136.049, 28.4848, 0, 164.829, 0.00449253,70
_ecca20_07,77000.0,149.494, 606.036, 0, 755.707, 0.0109245,70
_ecca20_08,77500.0,160.784, 1929.46, 0, 2090.6, 0.0144548,70
_ecca20_11,74000.0,49.4589, 0.00048893, 0.000408652, 49.4685, 0.000174394,53
_ecca20_12,74500.0,48.038, 0.000345075, 0, 48.048, 0.000267832,53
_ecca20_13,75000.0,47.8382, 0.000335391, 0, 47.8579, 0.00173818,53
_ecca20_14,75500.0,49.9322, 0.000421207, 3.2069e-05, 49.9393, 0.000339365,53
_ecca20_15,76000.0,49.2938, 0.000353723, 6.21786e-17, 49.3029, 0.000249748,53
_ecca20_16,76500.0,125.904, 69.4436, 0, 195.424, 0.0261245,53
_ecca20_17,77000.0,138.933, 808.538, 0, 947.706, 0.0230179,53
_ecca20_18,77500.0,149.309, 2136.88, 0, 2286.38, 0.0315074,53
_ecca20_21,74000.0,50.6714, 0.000465485, 0, 50.68, 0.000602623,43
_ecca20_22,74500.0,50.3145, 0.000448559, 0, 50.3289, 0.000852247,43
_ecca20_23,75000.0,54.5212, 0.000572035, 0.000403929, 54.5321, 0.000744166,43
_ecca20_24,75500.0,53.0973, 0.000494835, 2.7747e-11, 53.1051, 0.000261896,43
_ecca20_25,76000.0,52.2712, 0.000419586, 9.62253e-12, 52.2785, 0.000739576,43
_ecca20_26,76500.0,137.165, 18.6579, 0, 155.876, 0.0015984,43
_ecca20_27,77000.0,153.986, 590.698, 0, 745.584, 0.0580103,43
_ecca20_28,77500.0,167.189, 1878.16, 0, 2075.87, 0.0355603,43
_ecca20_31,74000.0,44.3439, 0.000625198, 0.000103948, 44.3523, 0.000369043,35
_ecca20_32,74500.0,44.1615, 0.00061543, 0, 44.174, 0.000461375,35
_ecca20_33,75000.0,43.4197, 0.000501693, 0.00183216, 43.4352, 0.000392936,35
_ecca20_34,75500.0,45.9887, 0.000649236, 1.33062e-25, 46.0239, 0.000222477,35
_ecca20_35,76000.0,46.0318, 0.000617526, 0, 46.0401, 0.00116473,35
