Folder,RelaxArea,c0Insertion,Col1,Col2,Col3,Col4,Col5,Ngags,Height
_c0low3_01,68000.0,-0.05,190.886, 74911, 1025.3, 76279, 0.442413,161,28.677840
_c0low3_03,72000.0,-0.05,195.695, 16734.5, 0, 16955.5, 0.15487,161,28.940593
_c0low3_04,74000.0,-0.05,212.856, 3524.94, 0, 3738.37, 0.0343874,161,32.091858
_c0low3_05,76000.0,-0.05,109.39, 9.03372e-05, 0, 109.399, 0.000409432,161,32.586538
_c0low3_06,78000.0,-0.05,112.063, 0.000295318, 0, 112.074, 0.000651154,161,33.144086
_c0low3_07,80000.0,-0.05,313.552, 4952.3, 3.68829e-23, 5268.1, 0.0480565,161,33.465744
_c0low3_08,82000.0,-0.05,328.033, 26235.2, 6.99323e-23, 26803.8, 0.0930953,161,30.521561
_c0low3_11,68000.0,-0.06,307.812, 74916.1, 1025.35, 76403.1, 0.264977,161,28.677382
_c0low3_12,70000.0,-0.06,346.984, 40111.9, 889.69, 41357.7, 0.158433,161,31.705940
_c0low3_13,72000.0,-0.06,336.814, 19956, 0, 20390.8, 0.0751077,161,31.848716
_c0low3_14,74000.0,-0.06,333.558, 3515.91, 0, 3856.12, 0.0703937,161,32.095625
_c0low3_15,76000.0,-0.06,199.7, 2.10624e-05, 0, 199.725, 0.000640148,161,32.585912
_c0low3_16,78000.0,-0.06,200.03, 6.64509e-05, 0, 200.06, 0.000841226,161,33.147937
_c0low3_17,80000.0,-0.06,381.063, 7036.59, 0, 7419.15, 0.214285,161,30.393179
_c0low_01,68000.0,-0.02,115.134, 81761.9, 1083.51, 82989.6, 0.157963,161,31.455360
_c0low_02,70000.0,-0.02,120.39, 40097.6, 890.853, 41118.1, 0.161253,161,31.696470
_c0low_03,72000.0,-0.02,119.439, 19961.1, 0, 20173, 0.17081,161,31.846661
_c0low_04,74000.0,-0.02,126.801, 3266.93, 0, 3394.43, 0.0810426,161,32.055965
_c0low_05,76000.0,-0.02,58.3132, 0.00066629, 0, 58.3155, 0.000410806,161,32.247783
_c0low_06,78000.0,-0.02,95.6633, 0.00343416, 0, 95.6766, 0.000749674,161,33.110463
_c0low_07,80000.0,-0.02,260.862, 4976.37, 0, 5239.4, 0.0540669,161,33.452718
_c0low_08,82000.0,-0.02,324.317, 21596, 0, 22208, 0.221286,161,33.452769
_c0low_11,68000.0,-0.01,163.849, 75862.8, 1465.02, 77588.5, 0.119893,161,31.319631
_c0low_12,70000.0,-0.01,176.832, 45247.2, 433.942, 46050.9, 0.193876,161,31.763280
_c0low_13,72000.0,-0.01,181.846, 19930.8, 0, 20193.4, 0.204741,161,31.837930
_c0low_14,74000.0,-0.01,193.581, 3500.07, 0, 3697.98, 0.0276228,161,32.075686
_c0low_15,76000.0,-0.01,112.983, 0.00152602, 0, 112.987, 0.000584436,161,32.006825
_c0low_16,78000.0,-0.01,166.453, 0.00681956, 0, 166.472, 0.000578751,161,33.025788
_c0low_17,80000.0,-0.01,338.428, 4983.88, 0, 5324.51, 0.103874,161,33.447428
_c0low_18,82000.0,-0.01,396.881, 21619.1, 0, 22225.6, 0.142228,161,33.472907
_c0low_21,68000.0,0.0,277.067, 81745.2, 1074.7, 83125.8, 0.224465,161,31.447106
_c0low_22,70000.0,0.0,285.107, 45240.5, 433.923, 46148.4, 0.211025,161,31.761089
_c0low_23,72000.0,0.0,290.851, 19924.4, 1.07239e-25, 20294.2, 0.199162,161,31.834535
_c0low_24,74000.0,0.0,303.819, 3505.14, 0, 3812.11, 0.0832784,161,32.059738
_c0low_25,76000.0,0.0,219.447, 0.00398836, 1.52357e-08, 219.455, 0.00177294,161,31.915449
_c0low_26,78000.0,0.0,288.671, 0.0124804, 1.73639e-25, 288.709, 0.00087176,161,32.792419
_c0low_27,80000.0,0.0,465.431, 5296.64, 0, 5765.1, 0.15088,161,33.443820
_c0low_28,82000.0,0.0,524.3, 21629.4, 0, 22360.4, 0.324068,161,33.470883
_c0low_31,68000.0,0.01,427.931, 81726.5, 1079.32, 83262.8, 0.179316,161,31.445101
_c0low_32,70000.0,0.01,440.109, 45233.2, 433.903, 46292.4, 0.412328,161,31.758455
_c0low_33,72000.0,0.01,443.581, 19431, 0, 19912.3, 0.0958389,161,31.780698
_c0low_34,74000.0,0.01,458.863, 3404.61, 0, 3864.35, 0.115383,161,32.029735
_c0low_35,76000.0,0.01,347.15, 0.00536071, 7.20186e-11, 347.162, 0.00137135,161,31.680908
_c0low_36,78000.0,0.01,443.808, 0.0178584, 0, 443.849, 0.00096327,161,32.909059
_c0low_37,80000.0,0.01,636.135, 4981.92, 3.88167e-27, 5620.15, 0.132229,161,33.431429
_c0low_38,82000.0,0.01,698.688, 21640.9, 0, 22550, 0.24017,161,33.468607
_c0low_41,68000.0,0.02,610.684, 74336, 2041.2, 77083, 0.212968,161,31.298389
_c0low_42,70000.0,0.02,641.755, 45226.6, 433.718, 46484.4, 0.162801,161,31.755420
_c0low_43,72000.0,0.02,645.984, 19250.9, 0, 19937.6, 0.398259,161,31.784941
_c0low_44,74000.0,0.02,667.076, 3528.65, 0, 4205.69, 0.0494719,161,32.059599
_c0low_45,76000.0,0.02,512.466, 0.0077218, 0, 512.49, 0.00161324,161,31.543280
_c0low_46,78000.0,0.02,642.639, 0.0256019, 0, 642.698, 0.00193465,161,32.644849
_c0low_47,80000.0,0.02,856.05, 5019.48, 0, 5878.12, 0.0283018,161,33.425303
_c0low_48,82000.0,0.02,921.512, 21651.5, 0, 22785.2, 0.189154,161,33.465796
_c0low_51,68000.0,0.03,868.964, 81710.3, 1073.82, 83683.6, 0.23074,161,31.435831
_c0low_52,70000.0,0.03,890.052, 45218.2, 433.694, 46722.4, 0.190798,161,31.752318
_c0low_53,72000.0,0.03,896.915, 19901.6, 0, 20872.2, 0.107109,161,31.821320
_c0low_54,74000.0,0.03,916.239, 3482.56, 0, 4399.29, 0.115117,161,32.047429
_c0low_55,76000.0,0.03,726.471, 0.012187, 0, 726.518, 0.00245955,161,31.503407
_c0low_56,78000.0,0.03,885.593, 0.0339192, 0, 885.668, 0.00145713,161,32.782180
